net,length_um
clknet_leaf_35_clk,101.74
clknet_leaf_0_clk,101.72
_04403_,101.68
_07561_,101.66
clknet_leaf_84_clk,101.35
clknet_leaf_149_clk,101.34
arr.a31\[5\],101.1
net178,100.86
net534,100.855
_02815_,100.73
_01755_,100.66
arr.b20\[2\],100.64
_05592_,100.54
_07562_,100.39
_03992_,100.335
arr.a2\[6\],100.26
clknet_leaf_88_clk,100.18
_02839_,100.08
_06015_,100.02
_07182_,99.95
arr.b3\[3\],99.94
_08447_,99.93
_06802_,99.84
arr.b3\[5\],99.8
arr.a02\[1\],99.78
arr.a02\[2\],99.78
_05614_,99.66
_02339_,99.62
_05264_,99.62
_08356_,99.62
_06469_,99.585
_02443_,99.4
arr.a2\[5\],99.28
_04420_,98.595
_06405_,98.45
arr.b1\[2\],98.26
_02341_,97.9
_02103_,97.88
arr.a1\[4\],97.28
_05578_,97.25
arr.a31\[2\],97.06
_07967_,97.055
_04425_,97.02
clknet_leaf_102_clk,96.89
arr.b21\[7\],96.64
net709,96.64
_02313_,96.6
arr.b2\[5\],96.54
_01942_,96.52
_01859_,96.3
net142,96.1
_06457_,95.58
_03236_,95.3
_06062_,95.24
_07582_,95.24
_01777_,95.16
_07584_,95.13
clknet_leaf_79_clk,95.1
_07253_,95.045
arr.b2\[3\],94.82
arr.b3\[0\],94.76
_08352_,94.62
net552,94.62
_05609_,94.605
_06763_,94.59
_02502_,94.455
arr.b20\[1\],94.41
arr.b20\[6\],94.41
arr.a2\[1\],94.38
_02406_,94.34
net334,94.22
_02041_,94.16
arr.a0\[6\],94.15
arr.a1\[6\],93.95
_06065_,93.875
_02889_,93.815
net760,93.74
_02032_,93.59
_07998_,93.565
_05991_,93.38
net732,93.38
arr.b21\[6\],93.32
_04078_,92.62
_03597_,92.56
arr.a31\[0\],92.32
clknet_leaf_128_clk,92.3
clknet_leaf_152_clk,92.26
clknet_leaf_24_clk,92.235
arr.a1\[0\],92.16
_07263_,92.155
_05181_,91.98
_03212_,91.94
clknet_leaf_61_clk,91.92
arr.b22\[6\],91.845
clknet_leaf_1_clk,91.72
_02437_,91.7
clknet_leaf_110_clk,91.64
_04381_,91.56
_04552_,91.55
clknet_leaf_127_clk,91.52
_07251_,91.5
_02231_,91.38
_04773_,91.34
_02111_,91.26
clknet_leaf_34_clk,91
net690,90.86
_07157_,90.71
clknet_leaf_98_clk,90.575
clknet_leaf_39_clk,90.54
_02177_,90.24
_04087_,90.05
clknet_leaf_80_clk,89.94
_04023_,89.835
_06410_,89.81
_05673_,89.795
_02161_,89.66
net795,89.64
net838,89.56
_06362_,89.515
clknet_leaf_31_clk,89.34
_03191_,89.32
_07199_,89.31
_02147_,89.04
_03283_,89.02
_03980_,88.895
arr.b03\[4\],88.89
net955,88.88
_02490_,88.84
arr.b0\[7\],88.76
net768,88.52
_05993_,88.495
_02966_,88.47
net766,88.4
net735,88.3
arr.a1\[1\],88.05
net39,87.98
clknet_leaf_112_clk,87.86
arr.a00\[5\],87.78
net819,87.7
_07606_,87.67
net742,87.6
_02169_,87.49
_04377_,87.485
_05663_,87.35
_02158_,87.28
_03286_,87.24
arr.a0\[0\],87.08
net714,87.02
_07180_,86.715
net750,86.68
_06854_,86.64
arr.b20\[0\],86.48
_06934_,86.42
arr.a31\[4\],86.4
clknet_leaf_30_clk,86.34
_03981_,86.305
_02022_,86.12
arr.a02\[4\],86.07
_03760_,85.955
_02230_,85.845
net43,85.82
net509,85.6
_08459_,85.595
_05169_,85.49
_06363_,85.49
_01840_,85.46
_04378_,85.42
clknet_leaf_51_clk,85.38
_03611_,85.36
_02051_,85.28
_02393_,84.88
_06365_,84.88
_02172_,84.86
arr.a12\[1\],84.85
arr.b03\[3\],84.81
_04380_,84.72
net773,84.705
_03200_,84.68
net745,84.68
net1104,84.34
_08003_,84.335
net755,84.26
_04401_,84.245
arr.b22\[5\],84.12
net686,84.04
_06759_,83.96
arr.a21\[5\],83.94
arr.a1\[7\],83.82
net876,83.79
_07559_,83.775
_03692_,83.315
clknet_leaf_117_clk,83.1
_02150_,82.92
clknet_leaf_49_clk,82.8
_01751_,82.76
_02398_,82.76
_00064_,82.74
net736,82.7
arr.a0\[3\],82.675
net989,82.6
net710,82.48
_03809_,82.27
_03983_,81.79
_03589_,81.73
net537,81.72
_05393_,81.7
clknet_leaf_55_clk,81.64
_00059_,81.5
net682,81.41
_04075_,81.28
_02794_,81.26
clknet_leaf_145_clk,81.23
net696,81.17
net933,81.16
arr.b13\[0\],81.08
_01938_,81.06
net778,80.97
clknet_leaf_54_clk,80.96
_01757_,80.84
arr.a02\[3\],80.76
_07882_,80.72
clknet_leaf_41_clk,80.71
net256,80.62
_07979_,80.575
arr.a2\[2\],80.4
_01750_,80.36
_06760_,80.36
arr.b22\[7\],80.3
_03944_,80.22
arr.b1\[0\],80.14
clknet_leaf_63_clk,80
clknet_leaf_105_clk,79.96
_01908_,79.8
_05790_,79.76
arr.a22\[7\],79.73
_05359_,79.4
_07346_,79.325
net730,79.28
_04204_,79.24
_07159_,79.16
clknet_leaf_93_clk,79.12
clknet_leaf_4_clk,78.88
clknet_leaf_43_clk,78.86
_04784_,78.66
arr.a31\[7\],78.525
